,points,points,points,average,average,average,games,games,games,price,price,price
season,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020
name,,,,,,,,,,,,
Aaron Gordon,2769.5,1698.0,2681.5,36.9,34.0,43.2,75.0,50.0,62.0,0.0,42.0,23.0
Aaron Henry,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
Aaron Holiday,1121.5,1112.5,1685.5,17.8,16.9,25.5,63.0,66.0,66.0,0.0,0.0,0.0
Aaron Nesmith,423.0,546.5,0.0,8.1,11.9,0.0,52.0,46.0,0.0,0.0,0.0,0.0
Aaron Wiggins,994.0,0.0,0.0,19.9,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,107.0,375.5,757.5,7.6,15.6,13.8,14.0,24.0,55.0,0.0,0.0,0.0
Admiral Schofield,352.0,0.0,241.0,9.3,0.0,7.3,38.0,0.0,33.0,0.0,0.0,0.0
Al Horford,2735.0,1140.0,2643.5,39.6,40.7,39.5,69.0,28.0,67.0,1.0,7.0,7.0
Al-Farouq Aminu,0.0,385.5,310.5,0.0,16.8,17.2,0.0,23.0,18.0,0.0,0.0,0.0
Alec Burks,2514.5,1461.5,2261.5,31.0,29.8,34.3,81.0,49.0,66.0,0.0,0.0,0.0
Aleksej Pokusevski,1464.5,959.0,0.0,24.0,21.3,0.0,61.0,45.0,0.0,0.0,0.0,0.0
Alex Caruso,1164.0,1209.5,1091.5,28.4,20.9,17.1,41.0,58.0,64.0,0.0,0.0,0.0
Alex Len,741.5,1327.0,1419.5,19.0,20.7,25.8,39.0,64.0,55.0,0.0,0.0,1.0
Alize Johnson,157.0,334.0,140.5,6.8,18.6,8.3,23.0,18.0,17.0,0.0,0.0,0.0
Alperen Sengun,2194.0,0.0,0.0,30.5,0.0,0.0,72.0,0.0,0.0,6.0,0.0,0.0
Amir Coffey,1494.5,302.0,139.0,21.7,6.9,7.7,69.0,44.0,18.0,0.0,0.0,0.0
Andre Drummond,2552.5,2350.5,3723.0,35.0,51.1,65.3,73.0,46.0,57.0,7.0,162.0,113.0
Andre Iguodala,668.0,1137.0,420.5,21.5,18.0,20.0,31.0,63.0,21.0,0.0,0.0,0.0
Andrew Wiggins,2796.5,2983.5,2583.5,38.3,42.0,47.8,73.0,71.0,54.0,20.0,42.0,32.0
Anfernee Simons,2021.5,1070.5,1194.0,35.5,16.7,17.1,57.0,64.0,70.0,0.0,0.0,0.0
Anthony Davis,2694.0,2087.5,4398.5,67.4,58.0,70.9,40.0,36.0,62.0,150.0,195.0,176.0
Anthony Edwards,3361.5,2890.5,0.0,46.7,40.1,0.0,72.0,72.0,0.0,35.0,3.0,0.0
Anthony Gill,482.0,238.0,0.0,11.0,9.2,0.0,44.0,26.0,0.0,0.0,0.0,0.0
Anthony Lamb,4.0,327.0,0.0,2.0,13.6,0.0,2.0,24.0,0.0,0.0,0.0,0.0
Armoni Brooks,685.5,460.5,0.0,12.7,23.0,0.0,54.0,20.0,0.0,0.0,0.0,0.0
Arnoldas Kulboka,-1.0,0.0,0.0,-0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Austin Reaves,1233.0,0.0,0.0,20.2,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0
Austin Rivers,960.0,703.5,1370.5,14.3,19.5,20.2,67.0,36.0,68.0,0.0,0.0,0.0
Avery Bradley,943.5,418.0,933.0,15.2,15.5,19.0,62.0,27.0,49.0,0.0,1.0,0.0
Ayo Dosunmu,1994.5,0.0,0.0,25.9,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0
Bam Adebayo,3164.5,3895.0,4171.0,56.5,60.9,57.9,56.0,64.0,72.0,92.0,128.0,23.0
Ben McLemore,1170.0,745.0,1420.5,18.3,14.1,20.0,64.0,53.0,71.0,0.0,0.0,0.0
Ben Simmons,0.0,2975.0,3552.5,0.0,51.3,62.3,0.0,58.0,57.0,0.0,138.0,105.0
Blake Griffin,1105.5,1340.5,579.5,19.7,29.1,32.2,56.0,46.0,18.0,0.0,20.0,51.0
Boban Marjanovic,185.0,464.5,814.5,8.0,14.1,18.5,23.0,33.0,44.0,0.0,0.0,0.0
Bobby Portis,2984.5,2166.5,1670.0,41.5,32.8,25.3,72.0,66.0,66.0,2.0,0.0,0.0
Bogdan Bogdanovic,2184.5,1680.5,2087.0,34.7,38.2,34.2,63.0,44.0,61.0,3.0,21.0,1.0
Bojan Bogdanovic,2312.5,2270.5,2247.5,33.5,31.5,35.7,69.0,72.0,63.0,5.0,16.0,7.0
Bol Bol,88.0,158.5,107.5,6.3,5.0,15.4,14.0,32.0,7.0,0.0,0.0,0.0
Bradley Beal,2123.0,3692.5,3605.0,53.1,61.5,63.2,40.0,60.0,57.0,0.0,101.0,132.0
Brandon Boston Jr.,772.5,0.0,0.0,15.1,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
Brandon Clarke,2088.0,1898.0,1931.5,32.6,32.2,33.3,64.0,59.0,58.0,0.0,4.0,0.0
Brandon Ingram,2860.0,3148.5,3230.5,52.0,51.6,52.1,55.0,61.0,62.0,73.0,75.0,7.0
Brian Bowen II,0.0,6.0,16.0,0.0,1.0,2.7,0.0,6.0,6.0,0.0,0.0,0.0
Brodric Thomas,61.5,328.5,0.0,5.1,10.3,0.0,12.0,32.0,0.0,0.0,0.0,0.0
Brook Lopez,375.0,2244.0,2410.5,28.8,32.1,35.4,13.0,70.0,68.0,0.0,7.0,18.0
Bruce Brown,2101.0,1813.0,1774.5,29.2,27.9,30.6,72.0,65.0,58.0,0.0,0.0,0.0
Bruno Fernando,265.5,169.0,774.5,8.8,5.1,13.8,30.0,33.0,56.0,0.0,0.0,0.0
Bryn Forbes,1200.0,1247.0,1355.0,16.0,17.8,21.5,75.0,70.0,63.0,0.0,0.0,0.0
Buddy Hield,2705.0,2659.0,2774.0,33.4,37.5,38.5,81.0,71.0,72.0,36.0,53.0,50.0
CJ Elleby,1017.0,170.0,0.0,17.5,5.7,0.0,58.0,30.0,0.0,0.0,0.0,0.0
CJ McCollum,3113.0,2418.5,3416.5,50.2,51.5,48.8,62.0,47.0,70.0,54.0,42.0,36.0
Cade Cunningham,2864.0,0.0,0.0,44.8,0.0,0.0,64.0,0.0,0.0,21.0,0.0,0.0
Caleb Martin,1465.0,763.5,300.5,24.4,14.4,16.7,60.0,53.0,18.0,0.0,0.0,0.0
