Player,Price,,,,
Anthony Davis,183,,"Anthony Davis?(LAL - PF,C)",183,Anthony Davis?
James Harden,173,,"James Harden?(Bkn - PG,SG)",173,James Harden?
Luka Doncic,201,,"Luka Doncic?(Dal - PG,SG)",201,Luka Doncic?
Trae Young,160,,Trae Young?(Atl - PG),160,Trae Young?
LeBron James,175,,"LeBron James?(LAL - PG,SG,SF)",175,LeBron James?
Damian Lillard,168,,Damian Lillard?(Por - PG),168,Damian Lillard?
Giannis Antetokounmpo,211,,"Giannis Antetokounmpo?(Mil - PF,C)",211,Giannis Antetokounmpo?
Karl-Anthony Towns,197,,Karl-Anthony Towns?(Min - C),197,Karl-Anthony Towns?
Bam Adebayo,146,,"Bam Adebayo?(Mia - PF,C)",146,Bam Adebayo?
Ricky Rubio,50,,Ricky Rubio?(Min - PG),50,Ricky Rubio?
Collin Sexton,30,,"Collin Sexton?(Cle - PG,SG)",30,Collin Sexton?
Stephen Curry,180,,"Stephen Curry?(GS - PG,SG)",180,Stephen Curry?
Jaren Jackson Jr.,20,,"Jaren Jackson Jr.?(Mem - PF,C)",20,Jaren Jackson Jr.?
Jimmy Butler,96,,"Jimmy Butler?(Mia - SF,PF)",96,Jimmy Butler?
Jayson Tatum,162,,"Jayson Tatum?(Bos - SF,PF)",162,Jayson Tatum?
D'Angelo Russell,68,,"D'Angelo Russell?(Min - PG,SG)",68,D'Angelo Russell?
Kevin Durant,150,,"Kevin Durant?(Bkn - SF,PF)",150,Kevin Durant?
Nikola Jokic,201,,"Nikola Jokic?(Den - PF,C)",201,Nikola Jokic?
Kawhi Leonard,132,,"Kawhi Leonard?(LAC - SG,SF)",132,Kawhi Leonard?
Nikola Vucevic,136,,Nikola Vucevic?(Orl - C),136,Nikola Vucevic?
Russell Westbrook,164,,Russell Westbrook?(Was - PG),164,Russell Westbrook?
Devin Booker,139,,"Devin Booker?(Pho - SG,SF)",139,Devin Booker?
Brandon Ingram,75,,"Brandon Ingram?(NO - SF,PF)",75,Brandon Ingram?
Ja Morant,74,,Ja Morant?(Mem - PG),74,Ja Morant?
John Collins,119,,"John Collins?(Atl - PF,C)",119,John Collins?
Zach LaVine,74,,"Zach LaVine?(Chi - SG,SF)",74,Zach LaVine?
Draymond Green,24,,"Draymond Green?(GS - PF,C)",24,Draymond Green?
Bradley Beal,90,,"Bradley Beal?(Was - SG,SF)",90,Bradley Beal?
Rudy Gobert,102,,Rudy Gobert?(Uta - C),102,Rudy Gobert?
Ben Simmons,121,,Ben Simmons?(Phi - PG),121,Ben Simmons?
Jamal Murray,69,,"Jamal Murray?(Den - PG,SG)",69,Jamal Murray?
Kyrie Irving,120,,Kyrie Irving?(Bkn - PG),120,Kyrie Irving?
Donovan Mitchell,91,,"Donovan Mitchell?(Uta - PG,SG)",91,Donovan Mitchell?
Jrue Holiday,82,,"Jrue Holiday?(Mil - PG,SG)",82,Jrue Holiday?
Paul George,96,,"Paul George?(LAC - SF,PF)",96,Paul George?
Chris Paul,31,,Chris Paul?(Pho - PG),31,Chris Paul?
Zion Williamson,76,,Zion Williamson?(NO - PF),76,Zion Williamson?
Joel Embiid,140,,"Joel Embiid?(Phi - PF,C)",140,Joel Embiid?
Jaylen Brown,36,,"Jaylen Brown?(Bos - SG,SF)",36,Jaylen Brown?
Deandre Ayton,101,,Deandre Ayton?(Pho - C),101,Deandre Ayton?
Kristaps Porzingis,20,,"Kristaps Porzingis?(Dal - PF,C)",20,Kristaps Porzingis?
John Wall,62,,John Wall?(Hou - PG),62,John Wall?
Kyle Lowry,70,,Kyle Lowry?(Tor - PG),70,Kyle Lowry?
De'Aaron Fox,70,,De'Aaron Fox?(Sac - PG),70,De'Aaron Fox?
Shai Gilgeous-Alexander,80,,"Shai Gilgeous-Alexander?(OKC - PG,SG,SF)",80,Shai Gilgeous-Alexander?
DeMar DeRozan,66,,"DeMar DeRozan?(SA - SG,SF,PF)",66,DeMar DeRozan?
Fred VanVleet,45,,"Fred VanVleet?(Tor - PG,SG)",45,Fred VanVleet?
Pascal Siakam,90,,"Pascal Siakam?(Tor - PF,C)",90,Pascal Siakam?
Jusuf Nurkic,35,,Jusuf Nurkic?(Por - C),35,Jusuf Nurkic?
Jonas Valanciunas,41,,Jonas Valanciunas?(Mem - C),41,Jonas Valanciunas?
CJ McCollum,38,,"CJ McCollum?(Por - PG,SG)",38,CJ McCollum?
Lonzo Ball,37,,"Lonzo Ball?(NO - PG,SG)",37,Lonzo Ball?
Andre Drummond,111,,Andre Drummond?(Cle - C),111,Andre Drummond?
Khris Middleton,55,,"Khris Middleton?(Mil - SF,PF)",55,Khris Middleton?
Mitchell Robinson,37,,Mitchell Robinson?(NY - C),37,Mitchell Robinson?
Domantas Sabonis,90,,"Domantas Sabonis?(Ind - PF,C)",90,Domantas Sabonis?
