Player,Price
Anthony Davis,150
James Harden,188
Luka Doncic,216
Trae Young,130
LeBron James,
Damian Lillard,
Giannis Antetokounmpo,201
Karl-Anthony Towns,159
Bam Adebayo,92
Ricky Rubio,
Collin Sexton,
Stephen Curry,160
Jaren Jackson Jr.,46
Jimmy Butler,106
Jayson Tatum,121
D'Angelo Russell,46
Kevin Durant,185
Nikola Jokic,225
Kawhi Leonard,
Nikola Vucevic,111
Russell Westbrook,
Devin Booker,74
Brandon Ingram,73
Ja Morant,69
John Collins,58
Zach LaVine,101
Draymond Green,14
Bradley Beal,
Rudy Gobert,104
Ben Simmons,
Jamal Murray,72
Kyrie Irving,25
Donovan Mitchell,90
Jrue Holiday,32
Paul George,107
Chris Paul,52
Zion Williamson,
Joel Embiid,125
Jaylen Brown,
Deandre Ayton,81
Kristaps Porzingis,70
John Wall,
Kyle Lowry,24
De'Aaron Fox,
Shai Gilgeous-Alexander,
DeMar DeRozan,54
Fred VanVleet,65
Pascal Siakam,31
Jusuf Nurkic,
Jonas Valanciunas,54
CJ McCollum,54
Lonzo Ball,
Andre Drummond,7
Khris Middleton,55
Mitchell Robinson,
Domantas Sabonis,132
LaMarcus Aldridge,
Robert Covington,
Christian Wood,46
Tobias Harris,45
Eric Bledsoe,
Hassan Whiteside,
Gordon Hayward,
Malcolm Brogdon,24
Michael Porter Jr.,
Myles Turner,61
Cody Zeller,
Coby White,
Mike Conley,5
Kevin Love,
Steven Adams,5
Clint Capela,60
Andrew Wiggins,20
Buddy Hield,36
Devonte' Graham,5
Aaron Gordon,
Wendell Carter Jr.,
Montrezl Harrell,
Spencer Dinwiddie,13
T.J. Warren,
Julius Randle,119
Tyler Herro,6
Klay Thompson,
Blake Griffin,
Victor Oladipo,
Jerami Grant,43
Lauri Markkanen,
Danilo Gallinari,
Kelly Oubre Jr.,1
Kemba Walker,
Dejounte Murray,
Brook Lopez,
Tristan Thompson,
Thomas Bryant,
Markelle Fultz,
Derrick White,23
Marvin Bagley III,
Richaun Holmes,
Elfrid Payton,
DeMarcus Cousins,
Al Horford,1
Bogdan Bogdanovic,3
OG Anunoby,
LaMelo Ball,73
Marcus Smart,1
Mikal Bridges,5
Derrick Rose,
Brandon Clarke,
Evan Fournier,15
Davis Bertans,
Bojan Bogdanovic,5
Otto Porter Jr.,
PJ Washington,35
Caris LeVert,11
De'Andre Hunter,
Goran Dragic,
James Wiseman,
Lou Williams,
Carmelo Anthony,
Seth Curry,
Harrison Barnes,10
Norman Powell,
Kevin Huerter,
Serge Ibaka,
Cole Anthony,
Derrick Favors,
Miles Bridges,1
Terry Rozier,23
DeAndre Jordan,
Dennis Schroder,16
Anthony Edwards,35
RJ Barrett,
Donte DiVincenzo,
Jarrett Allen,47
Daniel Theis,
Darius Bazley,
Nerlens Noel,
Josh Richardson,
Joe Ingles,
Duncan Robinson,
Will Barton,
Bobby Portis,2
Marquese Chriss,
Larry Nance Jr.,
Isaac Okoro,
Jeff Teague,
Darius Garland,13
Dwight Powell,
Rui Hachimura,
Killian Hayes,
Obi Toppin,
Cam Reddish,
Chris Boucher,
Delon Wright,
Paul Millsap,
Joe Harris,
Malik Beasley,
Josh Jackson,
Jordan Clarkson,3
Tyrese Haliburton,29
Jakob Poeltl,20
Marc Gasol,
Jabari Parker,
Terrence Ross,
Deni Avdija,
Kevin Porter Jr.,18
Jaxson Hayes,
Tim Hardaway Jr.,
Jalen Green,26
Keldon Johnson,32
Jalen Suggs,5
Mason Plumlee,4
Isaiah Stewart,6
Ivica Zubac,1
Nicolas Claxton,1
Jordan Poole,9
Evan Mobley,4
Mo Bamba,2
Josh Giddey,1
Alperen Sengun,6
Cade Cunningham,21
