id,name,team,position,y1_points,y1_rank,y2_points,y2_rank,y3_points,y3_rank,y1_average,y2_average,y3_average,y1_games,y2_games,y3_games,y1_price,y2_price,y3_price
203932,Aaron Gordon,Denver Nuggets,F,2769.5,72,1698.0,144,2681.5,48,36.9,34.0,43.2,75,50,62,0,42,23
1630565,Aaron Henry,Philadelphia 76ers,F,6.0,495,0.0,433,0.0,365,1.0,0.0,0.0,6,0,0,0,0,0
1628988,Aaron Holiday,Atlanta Hawks,G,1121.5,255,1112.5,231,1685.5,148,17.8,16.9,25.5,63,66,66,0,0,0
1630174,Aaron Nesmith,Indiana Pacers,G-F,423.0,371,546.5,324,0.0,365,8.1,11.9,0.0,52,46,0,0,0,0
1630598,Aaron Wiggins,Oklahoma City Thunder,G,994.0,279,0.0,433,0.0,365,19.9,0.0,0.0,50,0,0,0,0,0
1627846,Abdel Nader,Phoenix Suns,F,107.0,444,375.5,345,757.5,258,7.6,15.6,13.8,14,24,55,0,0,0
1629678,Admiral Schofield,Orlando Magic,F,352.0,386,0.0,433,241.0,322,9.3,0.0,7.3,38,0,33,0,0,0
201143,Al Horford,Boston Celtics,C-F,2735.0,77,1140.0,225,2643.5,49,39.6,40.7,39.5,69,28,67,1,7,7
202329,Al-Farouq Aminu,Portland Trail Blazers,F,0.0,500,385.5,343,310.5,312,0.0,16.8,17.2,0,23,18,0,0,0
202692,Alec Burks,Detroit Pistons,G,2514.5,93,1461.5,180,2261.5,80,31.0,29.8,34.3,81,49,66,0,0,0
1630197,Aleksej Pokusevski,Oklahoma City Thunder,F,1464.5,207,959.0,258,0.0,365,24.0,21.3,0.0,61,45,0,0,0,0
1627936,Alex Caruso,Chicago Bulls,G,1164.0,248,1209.5,213,1091.5,222,28.4,20.9,17.1,41,58,64,0,0,0
203458,Alex Len,Sacramento Kings,C,741.5,317,1327.0,196,1419.5,189,19.0,20.7,25.8,39,64,55,0,0,1
1628993,Alize Johnson,San Antonio Spurs,F,157.0,428,334.0,353,140.5,334,6.8,18.6,8.3,23,18,17,0,0,0
1630578,Alperen Sengun,Houston Rockets,C,2194.0,117,0.0,433,0.0,365,30.5,0.0,0.0,72,0,0,6,0,0
1629599,Amir Coffey,LA Clippers,G-F,1494.5,197,302.0,364,139.0,335,21.7,6.9,7.7,69,44,18,0,0,0
203083,Andre Drummond,Chicago Bulls,C,2552.5,88,2350.5,71,3723.0,15,35.0,51.1,65.3,73,46,57,7,162,113
2738,Andre Iguodala,Golden State Warriors,G-F,668.0,331,1137.0,226,420.5,302,21.5,18.0,20.0,31,63,21,0,0,0
203952,Andrew Wiggins,Golden State Warriors,F,2796.5,69,2983.5,40,2583.5,54,38.3,42.0,47.8,73,71,54,20,42,32
1629014,Anfernee Simons,Portland Trail Blazers,G,2021.5,136,1070.5,240,1194.0,214,35.5,16.7,17.1,57,64,70,0,0,0
203076,Anthony Davis,Los Angeles Lakers,F-C,2694.0,79,2087.5,99,4398.5,7,67.4,58.0,70.9,40,36,62,150,195,176
1630162,Anthony Edwards,Minnesota Timberwolves,G,3361.5,35,2890.5,44,0.0,365,46.7,40.1,0.0,72,72,0,35,3,0
1630264,Anthony Gill,Washington Wizards,F,482.0,360,238.0,380,0.0,365,11.0,9.2,0.0,44,26,0,0,0,0
1630237,Anthony Lamb,Houston Rockets,F,4.0,498,327.0,355,0.0,365,2.0,13.6,0.0,2,24,0,0,0,0
