Player,Price
Giannis Antetokounmpo,198
Kawhi Leonard,167
Montrezl Harrell,52
Joel Embiid,170
Karl-Anthony Towns,172
Nikola Jokic,182
Zach LaVine,81
Stephen Curry,181
Russell Westbrook,160
Chris Paul,89
Anthony Davis,176
James Harden,187
Mitchell Robinson,61
Deandre Ayton,65
LeBron James,165
Damian Lillard,128
Luka Doncic,120
Bradley Beal,132
Nikola Vucevic,120
Myles Turner,65
Devin Booker,75
Rudy Gobert,93
Lauri Markkanen,63
Jayson Tatum,50
Domantas Sabonis,47
Kemba Walker,81
John Collins,68
Kristaps Porzingis,72
Kevin Love,53
Zion Williamson,37
Ben Simmons,105
Kyrie Irving,88
Mike Conley,58
Julius Randle,51
Draymond Green,45
Ricky Rubio,125
Paul George,97
Andre Drummond,113
Jimmy Butler,85
Trae Young,90
Clint Capela,78
De'Aaron Fox,52
Andrew Wiggins,32
John Wall,5
Blake Griffin,51
Derrick Favors,21
Meyers Leonard,4
LaMarcus Aldridge,70
Jrue Holiday,79
Kyle Lowry,33
Pascal Siakam,52
Donovan Mitchell,33
D'Angelo Russell,63
Aaron Gordon,23
CJ McCollum,36
Marvin Bagley III,57
Khris Middleton,41
Buddy Hield,50
DeMar DeRozan,48
Jaren Jackson Jr.,36
Brook Lopez,18
Lou Williams,30
Otto Porter Jr.,21
Thomas Bryant,27
Caris LeVert,13
Steven Adams,30
Jamal Murray,11
Al Horford,7
Zach Collins,1
DeAndre Jordan,19
RJ Barrett,11
Serge Ibaka,4
Terry Rozier,12
Tobias Harris,30
Bam Adebayo,23
Gordon Hayward,10
JJ Redick,3
Brandon Ingram,7
Marc Gasol,8
Harrison Barnes,6
Lonzo Ball,4
Jonathan Isaac,5
Eric Bledsoe,7
Josh Richardson,3
Danilo Gallinari,15
Ja Morant,5
Jarrett Allen,4
Bojan Bogdanovic,7
Collin Sexton,1
Larry Nance Jr.,3
Eric Gordon,1
Robert Covington,8
Kyle Kuzma,3
Jeff Teague,1
Thaddeus Young,2
Hassan Whiteside,4
Malcolm Brogdon,3
Jabari Parker,2
Joe Harris,1
Dejounte Murray,1
Jonas Valanciunas,3
JaVale McGee,2
Victor Oladipo,1
Joe Ingles,2
Paul Millsap,2
Danny Green,1
Derrick White,1
Kelly Oubre Jr.,1
Dwight Howard,2
Tyler Herro,2
Justise Winslow,1
T.J. Warren,2
Rudy Gay,1
Shai Gilgeous-Alexander,2
Coby White,1
Kendrick Nunn,1
Willie Cauley-Stein,1
Taurean Prince,1
Enes Kanter,2
Marcus Morris Sr.,1
Jeremy Lamb,2
Wendell Carter Jr.,1
Elfrid Payton,1
Alex Len,1
Terrence Ross,1
Bogdan Bogdanovic,1
Tristan Thompson,1
Kelly Olynyk,1
Tomas Satoransky,1
Miles Bridges,1
Rajon Rondo,1
Mikal Bridges,1
