name,season,fp,games,pergfp,price,fppd
Aaron Gordon,2014-2015,716.5,47,15.2,,
Aaron Gordon,2015-2016,2368.0,78,30.4,,
Aaron Gordon,2016-2017,2545.0,80,31.8,,
Aaron Gordon,2017-2018,2582.5,58,44.5,,
Aaron Gordon,2018-2019,3416.0,78,43.8,,
Aaron Gordon,2019-2020,2681.5,62,43.2,23.0,116.6
Aaron Gordon,2020-2021,1698.0,50,34.0,42.0,40.4
Aaron Gordon,2021-2022,2769.5,75,36.9,,
Aaron Henry,2021-2022,6.0,6,1.0,,
Aaron Holiday,2018-2019,714.5,50,14.3,,
Aaron Holiday,2019-2020,1685.5,66,25.5,,
Aaron Holiday,2020-2021,1112.5,66,16.9,,
Aaron Holiday,2021-2022,1121.5,63,17.8,,
Aaron Nesmith,2020-2021,546.5,46,11.9,,
Aaron Nesmith,2021-2022,423.0,52,8.1,,
Aaron Wiggins,2021-2022,994.0,50,19.9,,
Abdel Nader,2021-2022,107.0,14,7.6,,
Abdel Nader,2019-2020,757.5,55,13.8,,
Abdel Nader,2020-2021,375.5,24,15.6,,
Abdel Nader,2017-2018,343.0,48,7.1,,
Abdel Nader,2018-2019,558.5,61,9.2,,
Admiral Schofield,2019-2020,241.0,33,7.3,,
Admiral Schofield,2021-2022,352.0,38,9.3,,
Al Horford,2016-2017,3110.5,68,45.7,,
Al Horford,2020-2021,1140.0,28,40.7,7.0,162.9
Al Horford,2019-2020,2643.5,67,39.5,7.0,377.6
Al Horford,2018-2019,3088.5,68,45.4,,
Al Horford,2017-2018,3128.0,71,44.1,,
Al Horford,2014-2015,3577.5,76,47.1,,
Al Horford,2021-2022,2735.0,69,39.6,1.0,2735.0
Al Horford,2013-2014,1539.0,29,53.1,,
Al Horford,2012-2013,4176.5,74,56.4,,
Al Horford,2011-2012,442.0,11,40.2,,
Al Horford,2010-2011,3984.5,77,51.7,,
Al Horford,2015-2016,3818.0,81,47.1,,
Al-Farouq Aminu,2018-2019,2339.0,81,28.9,,
Al-Farouq Aminu,2016-2017,1675.5,61,27.5,,
Al-Farouq Aminu,2020-2021,385.5,23,16.8,,
Al-Farouq Aminu,2019-2020,310.5,18,17.2,,
Al-Farouq Aminu,2015-2016,2339.0,82,28.5,,
Al-Farouq Aminu,2017-2018,2011.0,69,29.1,,
Al-Farouq Aminu,2013-2014,1962.5,78,25.2,,
Al-Farouq Aminu,2014-2015,1533.0,74,20.7,,
Al-Farouq Aminu,2012-2013,2126.5,76,28.0,,
Al-Farouq Aminu,2011-2012,1260.5,66,19.1,,
Al-Farouq Aminu,2010-2011,1165.5,81,14.4,,
Alec Burks,2021-2022,2514.5,81,31.0,,
Alec Burks,2020-2021,1461.5,49,29.8,,
Alec Burks,2019-2020,2261.5,66,34.3,,
Alec Burks,2018-2019,1427.0,64,22.3,,
Alec Burks,2017-2018,1073.0,64,16.8,,
Alec Burks,2015-2016,813.5,31,26.2,,
Alec Burks,2014-2015,837.5,27,31.0,,
Alec Burks,2013-2014,2275.0,76,29.9,,
Alec Burks,2012-2013,1035.0,64,16.2,,
Alec Burks,2011-2012,910.5,59,15.4,,
Alec Burks,2016-2017,593.5,42,14.1,,
Aleksej Pokusevski,2020-2021,959.0,45,21.3,,
Aleksej Pokusevski,2021-2022,1464.5,61,24.0,,
Alex Caruso,2020-2021,1209.5,58,20.9,,
Alex Caruso,2019-2020,1091.5,64,17.1,,
Alex Caruso,2021-2022,1164.0,41,28.4,,
Alex Caruso,2017-2018,472.5,37,12.8,,
Alex Caruso,2018-2019,660.0,25,26.4,,
Alex Len,2013-2014,292.5,41,7.1,,
Alex Len,2014-2015,1784.5,69,25.9,,
Alex Len,2015-2016,2248.0,78,28.8,,
Alex Len,2016-2017,2074.0,77,26.9,,
Alex Len,2017-2018,2055.5,69,29.8,,
Alex Len,2018-2019,2261.0,77,29.4,,
Alex Len,2019-2020,1419.5,55,25.8,1.0,1419.5
Alex Len,2020-2021,1327.0,64,20.7,,
Alex Len,2021-2022,741.5,39,19.0,,
Alize Johnson,2021-2022,157.0,23,6.8,,
Alize Johnson,2020-2021,334.0,18,18.6,,
Alize Johnson,2018-2019,54.0,14,3.9,,
Alize Johnson,2019-2020,140.5,17,8.3,,
Alperen Sengun,2021-2022,2194.0,72,30.5,6.0,365.7
Amir Coffey,2019-2020,139.0,18,7.7,,
Amir Coffey,2020-2021,302.0,44,6.9,,
Amir Coffey,2021-2022,1494.5,69,21.7,,
Andre Drummond,2018-2019,5226.5,79,66.2,,
Andre Drummond,2021-2022,2552.5,73,35.0,7.0,364.6
Andre Drummond,2020-2021,2350.5,46,51.1,162.0,14.5
Andre Drummond,2019-2020,3723.0,57,65.3,113.0,32.9
Andre Drummond,2017-2018,5007.0,78,64.2,,
Andre Drummond,2014-2015,4345.5,82,53.0,,
Andre Drummond,2015-2016,4644.0,80,58.0,,
Andre Drummond,2016-2017,4173.5,81,51.5,,
Andre Drummond,2013-2014,4343.0,80,54.3,,
